I??F~z{~?  m=24  alpha=6  skewness >= 4: True -> cr >= 4, not a counterexample
I??F~z{~_  m=25  alpha=6  skewness >= 4: True -> cr >= 4, not a counterexample
I??F~z{~o  m=26  alpha=6  skewness >= 4: True -> cr >= 4, not a counterexample
I??F~z{~w  m=27  alpha=6  skewness >= 4: True -> cr >= 4, not a counterexample
I??F~z}~O  m=26  alpha=6  skewness >= 4: True -> cr >= 4, not a counterexample
I??F~z}~o  m=27  alpha=6  skewness >= 4: True -> cr >= 4, not a counterexample
I??F~z}~g  m=27  alpha=6  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFrz{~?  m=23  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFrz{~_  m=24  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFrz{~G  m=24  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFrz{~o  m=25  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFrz{~g  m=25  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFrz{~w  m=26  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFrz}~O  m=25  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFrz}~o  m=26  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFrz}~g  m=26  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFrz}~W  m=26  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFrz}~w  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFrz~~o  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz{~?  m=24  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz{^_  m=24  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz{~_  m=25  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz{~O  m=25  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz{^o  m=25  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz{^W  m=25  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz{~o  m=26  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz{~W  m=26  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz{^w  m=26  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz{~w  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz}~O  m=26  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz}^o  m=26  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz}~o  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz}~g  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz}~W  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz}^w  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz|~W  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvz|^w  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFvx~~o  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFr~{~G  m=25  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFr~{~o  m=26  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFr~{~g  m=26  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AFr~{~w  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AF~z{~?  m=25  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AF~z{~_  m=26  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AF~z{}o  m=26  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AF~z{~o  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AF~z{}w  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
I?AF~z}~O  m=27  alpha=5  skewness >= 4: True -> cr >= 4, not a counterexample
